chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,filename,start,end,genre
0.39942878,0.09291878,0.061374977,0.0017463121,574.9176493340711,126695.32513008545,968.4648343295136,87971.5946984564,982.8583259316995,588787.2202718377,0.021978320765661252,0.00010607742765130114,-5.0951035e-06,0.004613478,-0.000105369836,0.0002242921,[143.5546875],-349.87195,3039.823,171.55605,769.35254,25.191586,345.45926,14.473109,217.34125,34.966396,188.86063,22.619616,48.872627,6.0952263,38.88546,10.255934,36.33058,4.672427,35.1422,1.3978119,40.34326,7.2373114,39.337524,2.6385,49.44484,-10.129536,23.638887,-7.0352116,42.28788,-0.7376588,52.324154,-4.6226077,46.835148,-6.4035716,50.98444,0.06072219,46.816097,4.5309153,42.76589,1.7002913,35.36692,blues.00093.wav,0.0,10.0,blues
0.38272485,0.096942164,0.059265118,0.0013273337,571.4883681811408,65396.649680810566,1001.2707564226212,64480.456958634466,914.1619122498549,305725.2660798505,0.02241788718097448,0.00015845744054000623,8.006266e-07,0.0041708215,-0.00010019805,0.00021405295,[80.74951172],-359.13315,2448.1807,169.0171,558.2845,30.939032,307.00305,15.03389,225.03268,26.268301,170.92253,18.680593,75.78944,9.60021,38.168095,10.644858,27.197882,6.2085567,35.538383,4.1463003,31.799997,3.905588,41.78382,1.0734859,38.391376,-5.5037837,29.464787,-3.7070656,23.289227,1.3755016,19.371515,-0.3134095,18.655624,-1.9747095,21.49386,1.3938389,25.18078,1.3422645,48.22903,-5.8386917,68.77043,blues.00093.wav,10.0,20.0,blues
0.3550125,0.09906464,0.07684477,0.002158417,567.3935832800765,125956.63817406713,1022.3096350810798,105444.04966937329,898.8488571273202,631589.6523015366,0.020618837006960558,8.870593740179753e-05,4.0935615e-06,0.007182568,-0.000102575505,0.00027031952,[60.09265988],-347.09448,2533.4124,174.26294,529.9951,35.29601,227.55289,22.076038,161.64922,24.789211,162.43921,16.054495,60.776894,7.79689,40.07098,9.574153,47.86429,3.005877,47.403233,3.4258351,36.30566,0.39867252,39.001564,1.876377,38.78488,-2.466943,24.695843,-4.949441,30.756933,-1.196609,41.759815,-0.6497351,29.60391,-2.4148824,19.139866,-1.1911029,29.066435,0.4750515,32.250404,-4.556223,48.543552,blues.00093.wav,20.0,30.0,blues
0.31935063,0.09481251,0.15523681,0.0025872283,1379.3207176541532,541760.6852981776,1829.2210920175755,173513.18691780415,2890.5452436194896,2591938.190457876,0.0481359211861949,0.0017823115446097774,4.7036636e-05,0.018540459,-0.00010534214,0.0028659424,[172.265625],-170.23643,2701.8887,127.19487,1092.2545,6.028249,343.16257,47.114243,331.3115,2.6922834,225.00877,27.196728,164.08418,-8.066653,197.46902,15.895261,107.642395,-11.737113,157.36156,0.5888049,109.718025,-8.877276,93.31304,-0.95688254,113.27098,-6.381433,66.24264,0.33913353,95.17621,-8.23235,68.7123,4.0974894,60.168068,-5.562647,31.30589,-1.2372057,53.63017,2.5498924,49.117638,-5.8118305,82.15841,blues.00087.wav,0.0,10.0,blues
0.3458455,0.09406009,0.17140074,0.0032394987,1425.3170335365592,276693.25166193227,1844.7886299229967,116117.70591604481,3012.7998794591067,1621919.8722455816,0.05024312101218097,0.0009180849545077489,5.346947e-06,0.021110065,-6.901993e-05,0.004465812,[86.1328125],-142.08961,2598.6462,128.53148,651.4287,-4.2708716,468.30417,47.163864,355.304,1.0270009,285.04843,23.142803,149.9223,-11.279181,263.55746,16.873917,134.93555,-11.996463,171.25113,1.8862803,106.31988,-6.221258,92.48352,0.25406453,94.67581,-7.7535563,78.11241,1.256636,51.95099,-7.5554357,53.83468,5.4548945,59.227146,-5.486036,67.969124,2.4476712,72.56487,3.5759141,55.017838,-5.4714384,67.68674,blues.00087.wav,10.0,20.0,blues
0.34399456,0.09427646,0.14673914,0.0019864668,1525.2359594083175,332719.28633804206,1941.6375960562198,146677.5787683539,3347.413865374855,2253946.668546839,0.054126712949535964,0.000762595652715082,-8.193204e-06,0.014744869,-0.0001046685,0.00334497,[86.1328125],-156.57149,3658.4734,124.81689,686.9459,-0.46367672,596.67816,46.574963,367.33084,-4.25408,261.57318,28.971338,148.01846,-16.134853,237.97827,16.876781,145.9106,-14.703123,152.34625,3.8976357,108.27374,-7.223495,129.50066,0.64498425,126.83165,-11.12983,75.375084,1.5636998,115.37206,-6.99968,127.18647,4.0904417,63.438324,-9.080757,60.077934,2.9365096,59.886715,-1.1726834,96.20602,-4.9509006,101.77102,blues.00087.wav,20.0,30.0,blues
0.375103,0.08744134,0.16587743,0.0032785728,2075.81934833838,111136.40772203657,2230.275948499665,38398.75605255227,4567.262328251885,470468.51018490345,0.08898727523201856,0.0014579821243609363,-5.997954e-06,0.011230069,0.000113485265,0.01054918,[135.99917763],-89.169685,1981.1282,96.232544,155.76389,-16.167255,227.92523,62.10761,86.61164,1.846774,92.28452,35.047764,58.232742,-9.377209,47.233986,18.017067,48.677998,-15.332961,29.666111,16.3975,35.90903,-12.42414,22.206656,13.192492,31.822678,-12.907225,22.436415,3.0886264,37.074337,-8.554609,26.308943,3.4339523,27.351856,-9.40588,28.732426,0.5071344,44.382385,-4.8623853,34.717934,4.7676477,45.436893,blues.00050.wav,0.0,10.0,blues
0.40268302,0.091111064,0.18657412,0.0041077174,1921.95080384959,152470.58957584703,2055.3747582526366,60959.78214489685,4108.84491462442,746315.4560843708,0.08460520591647332,0.0012005693337088217,-4.8340935e-05,0.015890231,-0.0001342056,0.01226458,[143.5546875],-78.78916,2797.3684,110.03136,317.37192,-27.021915,263.6622,55.136414,246.91974,-3.1090286,122.09507,32.849438,78.97393,-11.1534815,97.46409,20.996605,45.547382,-9.614216,61.20549,15.437208,61.458126,-9.451897,49.693825,12.964957,50.375717,-9.03374,39.79458,2.3368065,43.164787,-5.942479,49.892097,3.6996915,30.534557,-8.655762,42.86529,-1.0576473,57.93684,-2.23335,40.189194,-1.6485816,40.785057,blues.00050.wav,10.0,20.0,blues
0.425755,0.08935856,0.19354606,0.004038166,1838.242649710594,148711.94653593373,1961.4371853789569,83682.80163303536,3846.5245364160382,934711.4066799483,0.08338733504930394,0.0009952070636535595,-1.0505806e-05,0.015219992,-4.183912e-05,0.013869544,[135.99917763],-81.46996,2681.6519,115.25599,283.77045,-33.03426,390.45984,54.33229,240.53523,1.2455344,182.42928,36.448956,76.08121,-12.867254,155.24365,22.832346,51.342735,-8.937597,67.85499,12.899404,72.66708,-9.082452,53.447006,11.633331,67.62374,-7.5901303,58.278988,2.4842594,54.701782,-4.5650616,54.65299,2.105005,41.57121,-8.271098,44.237415,-0.2657144,67.35017,-2.0259004,46.795677,-0.8223715,56.10947,blues.00050.wav,20.0,30.0,blues
0.35517907,0.08569375,0.13953134,0.00058947195,2238.6090514735038,226408.03937507857,2426.958735721112,55674.37255113814,5253.427088620215,679850.3506195496,0.08364110535092807,0.001100209354568184,-0.0021175027,0.011003987,-0.004760695,0.0031722835,[135.99917763],-119.53314,849.32434,86.852776,240.65744,3.0843315,155.83002,69.006996,67.200096,-8.671675,56.48191,41.1786,39.09382,-8.729055,49.117958,26.944838,63.79857,-15.310104,80.06417,9.028008,62.85565,-20.97616,69.43699,10.4549675,88.26098,-6.259381,87.59831,2.4317524,75.885635,-11.8902235,61.637154,12.985422,83.74254,0.42549902,82.61472,0.2373675,54.5679,-3.5889838,115.16724,4.0189586,104.97614,blues.00044.wav,0.0,10.0,blues
